;Date;Whole Milk Powder;Skimmed Milk Powder;Chedar Cheese;Average Price Index;IFCN Milk Price Index
60;2010-07-01;3224.0;3067.0;;3344.0;37.6
61;2010-07-15;3099.0;2799.5;;;37.400000000000006
62;2010-08-01;2974.0;2532.0;;3080.0;37.2
63;2010-08-15;3248.0;2864.5;;;38.05
64;2010-09-01;3522.0;3197.0;;3562.0;38.9
65;2010-09-15;3602.0;3229.0;;3663.0;39.349999999999994
66;2010-10-01;3521.0;3221.0;;3591.0;39.8
67;2010-10-15;3484.0;3072.0;;3506.0;39.95
68;2010-11-01;3495.0;3021.0;;3542.0;40.1
69;2010-11-15;3447.0;3096.0;;3522.0;40.400000000000006
70;2010-12-01;3556.0;3060.0;;3594.0;40.7
71;2010-12-15;3620.0;3128.0;;3690.0;42.45
72;2011-01-01;3750.0;3492.0;;3908.0;44.2
73;2011-01-15;3780.0;3579.0;;3960.0;45.95
74;2011-02-01;3995.0;3913.0;;4246.0;47.7
75;2011-02-15;4320.0;3898.0;;4540.0;47.95
76;2011-03-01;4619.0;3977.0;;4826.0;48.2
77;2011-03-15;4105.0;3916.0;;4443.0;47.150000000000006
78;2011-04-01;3878.0;3763.0;;4280.0;46.1
79;2011-04-15;3912.0;3771.0;;4293.0;46.3
80;2011-05-01;3859.0;3909.0;;4367.0;46.5
81;2011-05-15;3863.0;3824.0;;4443.0;46.6
82;2011-06-01;3780.0;4372.0;;4306.0;46.7
83;2011-06-15;3888.0;3994.0;;4324.0;46.05
84;2011-07-01;3638.0;3704.0;;4017.0;45.4
85;2011-07-15;3475.0;3488.0;;3796.0;44.65
86;2011-08-01;3474.0;3479.0;;3716.0;43.9
87;2011-08-15;3385.0;3438.0;;3660.0;43.2
88;2011-09-01;3314.0;3444.0;;3580.0;42.5
89;2011-09-15;3499.0;3230.0;;3345.0;41.65
90;2011-10-01;3309.0;3193.0;;3449.0;40.8
91;2011-10-15;3503.0;3292.0;;3540.0;40.7
92;2011-11-01;3487.0;3292.0;;3511.0;40.6
93;2011-11-15;3574.0;3354.0;;3617.0;40.900000000000006
94;2011-12-01;3637.0;3424.0;;3737.0;41.2
95;2011-12-15;3589.0;3312.0;;3688.0;41.400000000000006
96;2012-01-01;3554.0;3269.0;3597.5497;3654.0;41.6
97;2012-01-15;3562.0;3351.0;3775.6;3701.0;41.25
98;2012-02-01;3533.0;3296.0;3639.6741;3666.0;40.9
99;2012-02-15;3421.0;3259.0;3559.0548;3545.0;40.2
100;2012-03-01;3409.0;3194.0;3497.0898;3576.0;39.5
101;2012-03-15;3316.0;3125.0;3113.9494;3396.0;38.25
102;2012-04-01;3227.0;3078.0;3370.6095;3277.0;37.0
103;2012-04-15;2847.0;2871.0;2937.1283;2983.0;36.1
104;2012-05-01;2776.0;2730.0;2939.5122;2843.0;35.2
105;2012-05-15;2546.0;2573.0;2856.5517;2618.0;34.75
106;2012-06-01;2763.0;3011.0;3189.1231;2899.0;34.3
107;2012-06-15;2886.0;2834.0;3117.1011;3042.0;34.099999999999994
108;2012-07-01;2760.0;2599.0;3060.4769;2787.0;33.9
109;2012-07-15;2584.0;2727.0;2986.4614;2756.0;34.55
110;2012-08-01;2675.0;2805.0;3159.0751;2797.0;35.2
111;2012-08-15;2870.0;3023.0;3400.7549;3054.0;36.6
112;2012-09-01;2978.0;3211.0;3593.4206;3174.0;38.0
113;2012-09-15;3036.0;3339.0;3588.8231;3249.0;38.65
114;2012-10-01;3167.0;3309.0;3299.5407;3285.0;39.3
115;2012-10-15;3421.0;3325.0;2990.203;3399.0;39.4
116;2012-11-01;3352.0;3449.0;3036.6384;3387.0;39.5
117;2012-11-15;3276.0;3402.0;3435.6774;3348.0;39.7
118;2012-12-01;3170.0;3362.0;3371.8747;3290.0;39.9
119;2012-12-15;3147.0;3419.0;3509.9034;3311.0;40.05
120;2013-01-01;3199.0;3572.0;3457.9809;3357.0;40.2
121;2013-01-15;3288.0;3552.0;3496.406;3442.0;40.7
122;2013-02-01;3468.0;3554.0;3525.4649;3598.0;41.2
123;2013-02-15;3654.0;3592.0;3553.7674;3756.0;43.6
124;2013-03-01;4298.0;3759.0;3826.678;4216.0;46.0
125;2013-03-15;5116.0;4050.0;4315.1036;4683.0;50.45
126;2013-04-01;5100.0;5142.0;4622.4444;4966.0;54.9
127;2013-04-15;5245.0;4757.0;4753.4884;4968.0;53.45
128;2013-05-01;4721.0;4280.0;4800.0;4597.0;52.0
129;2013-05-15;4722.0;4252.0;;4549.0;50.65
130;2013-06-01;4643.0;4164.0;4876.5517;4443.0;49.3
131;2013-06-15;4668.0;4284.0;4577.5;4598.0;49.4
132;2013-07-01;4757.0;4441.0;4394.6288;4643.0;49.5
133;2013-07-15;5058.0;4566.0;4475.4286;4828.0;49.9
134;2013-08-01;5021.0;4451.0;4334.5263;4847.0;50.3
135;2013-08-15;5124.0;4426.0;4374.8833;4941.0;50.4
136;2013-09-01;5058.0;4420.0;4257.0857;4891.0;50.5
137;2013-09-15;5096.0;4330.0;4295.0881;4880.0;50.5
138;2013-10-01;5208.0;4491.0;4388.9226;4890.0;50.5
139;2013-10-15;5058.0;4541.0;4325.5042;4888.0;50.7
140;2013-11-01;4891.0;4559.0;4379.6909;4797.0;50.9
141;2013-11-15;4870.0;4583.0;4584.1017;4805.0;52.15
142;2013-12-01;5035.0;4791.0;4501.3435;4973.0;53.4
143;2013-12-15;4958.0;4868.0;4568.7124;4990.0;53.9
144;2014-01-01;4934.0;4688.0;4656.4677;4943.0;54.4
145;2014-01-15;4943.0;4698.0;5132.8808;5025.0;55.2
146;2014-02-01;5005.0;4746.0;4934.6875;5042.0;56.0
147;2014-02-15;4999.0;4780.0;4845.2344;5016.0;55.35
148;2014-03-01;4703.0;4658.0;4837.1399;4794.0;54.7
149;2014-03-15;4439.0;4584.0;4641.0694;4563.0;52.1
150;2014-04-01;4033.0;4126.0;4437.8079;4124.0;49.5
151;2014-04-15;3990.0;3969.0;4273.349;4047.0;48.15
152;2014-05-01;3928.0;3873.0;4195.1894;3950.0;46.8
153;2014-05-15;3877.0;3733.0;4108.3088;3873.0;45.7
154;2014-06-01;3594.0;3863.0;4235.7867;3756.0;44.6
155;2014-06-15;3658.0;3855.0;4381.1475;3807.0;44.2
156;2014-07-01;3459.0;3810.0;4226.1842;3595.0;43.8
157;2014-07-15;3088.0;3516.0;4163.8292;3309.0;41.5
158;2014-08-01;2725.0;3264.0;3741.8045;3025.0;39.2
159;2014-08-15;2804.0;2874.0;3453.2873;3000.0;37.55
160;2014-09-01;2673.0;2600.0;3274.578;2787.0;35.9
161;2014-09-15;2692.0;2619.0;3077.4304;2795.0;35.349999999999994
162;2014-10-01;2443.0;2540.0;3028.0716;2599.0;34.8
163;2014-10-15;2503.0;2462.0;3006.7809;2640.0;34.05
164;2014-11-01;2522.0;2457.0;2728.1468;2649.0;33.3
165;2014-11-15;2400.0;2299.0;2861.1277;2561.0;33.15
166;2014-12-01;2229.0;2423.0;3017.1393;2513.0;33.0
167;2014-12-15;2270.0;2320.0;3001.6626;2609.0;33.3
168;2015-01-01;2307.0;2386.0;3089.7507;2709.0;33.6
169;2015-01-15;2402.0;2389.0;2961.387;2758.0;35.2
170;2015-02-01;2874.0;2598.0;2635.9015;3042.0;36.8
171;2015-02-15;3272.0;2744.0;3054.3345;3366.0;35.849999999999994
172;2015-03-01;3241.0;2935.0;3377.1046;3374.0;34.9
173;2015-03-15;2928.0;2731.0;3130.1316;3136.0;33.5
174;2015-04-01;2538.0;2467.0;2787.1466;2746.0;32.1
175;2015-04-15;2446.0;2253.0;2887.9154;2620.0;31.25
176;2015-05-01;2386.0;2048.0;3012.0677;2515.0;30.4
177;2015-05-15;2390.0;1992.0;2745.0;2472.0;29.549999999999997
178;2015-06-01;2309.0;1982.0;3054.6575;2412.0;28.7
179;2015-06-15;2327.0;1978.0;3127.7143;2409.0;25.95
180;2015-07-01;2054.0;1875.0;3060.1928;2276.0;23.2
181;2015-07-15;1848.0;1702.0;2613.1875;2082.0;23.6
182;2015-08-01;1560.0;1419.0;2663.3092;1815.0;24.0
183;2015-08-15;1856.0;1521.0;2777.8596;1974.0;25.6
184;2015-09-01;2078.0;1698.0;2913.3967;2226.0;27.2
185;2015-09-15;2495.0;1992.0;3206.3286;2568.0;28.0
186;2015-10-01;2824.0;2267.0;3234.2507;2834.0;28.8
187;2015-10-15;2694.0;2178.0;3162.5585;2735.0;27.700000000000003
188;2015-11-01;2453.0;2018.0;2986.8152;2569.0;26.6
189;2015-11-15;2148.0;1851.0;2874.3874;2345.0;26.5
190;2015-12-01;2260.0;1918.0;2828.9052;2419.0;26.4
191;2015-12-15;2304.0;1891.0;2856.08;2458.0;25.9
192;2016-01-01;2210.0;1890.0;2963.5112;2458.0;25.4
193;2016-01-15;2188.0;1835.0;2867.3677;2405.0;24.75
194;2016-02-01;1952.0;1792.0;2806.6991;2276.0;24.1
195;2016-02-15;1890.0;1762.0;2535.3828;2235.0;23.25
196;2016-03-01;1974.0;1802.0;2528.1982;2253.0;22.4
197;2016-03-15;1971.0;1731.0;2440.873;2190.0;22.299999999999997
198;2016-04-01;2013.0;1721.0;2777.6;2188.0;22.2
199;2016-04-15;2156.0;1727.0;2635.8621;2263.0;22.15
200;2016-05-01;2176.0;1676.0;2727.0;2727.0;22.1
201;2016-05-15;2252.0;1658.0;2693.0;2283.0;23.15
202;2016-06-01;2205.0;1867.0;2669.0;2329.0;24.2
203;2016-06-15;2118.0;1901.0;2882.0;2339.0;24.65
204;2016-07-01;2062.0;1938.0;2902.0;2345.0;25.1
205;2016-07-15;2079.0;1927.0;2886.0;2336.0;26.9
206;2016-08-01;2265.0;1965.0;2889.0;2436.0;28.7
207;2016-08-15;2695.0;2028.0;3157.0;2731.0;31.0
208;2016-09-01;2793.0;2224.0;3436.0;2920.0;33.3
209;2016-09-15;2782.0;2293.0;3518.0;2975.0;33.7
210;2016-10-01;2681.0;2209.0;3430.0;2880.0;34.1
211;2016-10-15;2760.0;2204.0;3290.0;2865.0;34.45
212;2016-11-01;3317.0;2329.0;3332.0;3327.0;34.8
213;2016-11-15;3423.0;2562.0;3697.0;3519.0;35.3
214;2016-12-01;3593.0;2570.0;3752.0;3622.0;35.8
215;2016-12-15;3568.0;2621.0;3826.0;3656.0;35.95
216;2017-01-01;3294.0;2660.0;3894.0;3463.0;36.1
217;2017-01-15;3283.0;2612.0;3940.0;3517.0;36.650000000000006
218;2017-02-01;3314.0;2608.0;3798.0;3537.0;37.2
219;2017-02-15;3189.0;2574.0;3590.0;3474.0;36.400000000000006
220;2017-03-01;2782.0;2118.0;3435.0;3512.0;35.6
221;2017-03-15;2855.0;1948.0;3406.0;3512.0;35.150000000000006
222;2017-04-01;2924.0;1913.0;3288.0;3005.0;34.7
223;2017-04-15;2998.0;2044.0;3462.0;3139.0;35.45
224;2017-05-01;3233.0;1982.0;3666.0;3166.0;36.2
225;2017-05-15;3312.0;1998.0;3726.0;3313.0;37.3
226;2017-06-01;3143.0;2156.0;4285.0;3395.0;38.4
227;2017-06-15;3022.0;2218.0;4121.0;3434.0;38.65
228;2017-07-01;3111.0;2090.0;4051.0;3303.0;38.9
229;2017-07-15;3114.0;2024.0;4112.0;3387.0;38.65
230;2017-08-01;3155.0;1966.0;3932.0;3343.0;38.4
231;2017-08-15;3143.0;1968.0;4005.0;3339.0;38.55
232;2017-09-01;3100.0;1944.0;4118.0;3323.0;38.7
233;2017-09-15;3122.0;1920.0;4032.0;3368.0;37.95
234;2017-10-01;3037.0;1895.0;4109.0;3223.0;37.2
235;2017-10-15;3014.0;1797.0;4107.0;3204.0;36.1
236;2017-11-01;2852.0;1818.0;4001.0;3105.0;35.0
237;2017-11-15;2778.0;1701.0;3831.0;2970.0;33.45
238;2017-12-01;2830.0;1774.0;3696.0;3091.0;31.9
239;2017-12-15;2755.0;1675.0;3389.0;2969.0;31.9
240;2018-01-01;2886.0;1699.0;3317.0;3124.0;31.9
241;2018-01-15;3010.0;1818.0;3486.0;3310.0;33.45
242;2018-02-01;3226.0;1932.0;3739.0;3553.0;35.0
243;2018-02-15;3246.0;1832.0;3686.0;3623.0;35.0
244;2018-03-01;3232.0;2051.0;3759.0;3593.0;35.0
245;2018-03-15;3226.0;1887.0;3609.0;3632.0;35.5
246;2018-04-01;3278.0;1849.0;3679.0;3477.0;36.0
247;2018-04-15;3311.0;1913.0;3855.0;3587.0;37.0
248;2018-05-01;3231.0;1999.0;4024.0;3465.0;38.0
249;2018-05-15;3226.0;2047.0;4205.0;3637.0;37.6
250;2018-06-01;3205.0;2051.0;3998.0;3487.0;37.2
251;2018-06-15;3189.0;2003.0;3847.0;3481.0;36.1
252;2018-07-01;2905.0;1913.0;3713.0;3232.0;35.0
253;2018-07-15;2973.0;1959.0;3596.0;3222.0;34.8
254;2018-08-01;2958.0;1972.0;3663.0;3136.0;34.6
255;2018-08-15;2883.0;1951.0;3484.0;3044.0;34.150000000000006
256;2018-09-01;2821.0;2005.0;3631.0;2980.0;33.7
257;2018-09-15;2768.0;1980.0;3503.0;2934.0;32.95
258;2018-10-01;2753.0;1982.0;3468.0;2901.0;32.2
259;2018-10-15;2729.0;1977.0;3404.0;2885.0;31.75
260;2018-11-01;2655.0;1997.0;3250.0;2851.0;31.3
261;2018-11-15;2599.0;1965.0;3252.0;2727.0;31.1
262;2018-12-01;2667.0;1970.0;3184.0;2819.0;30.9
263;2018-12-15;2674.0;2042.0;3263.0;2844.0;32.3
264;2019-01-01;2705.0;2201.0;3371.0;2924.0;33.7
265;2019-01-15;2777.0;2405.0;3504.0;3057.0;34.8
266;2019-02-01;3027.0;2534.0;3565.0;3265.0;35.9
267;2019-02-15;3022.0;2580.0;3667.0;3271.0;37.2
268;2019-03-01;3186.0;2462.0;3888.0;3309.0;38.5
269;2019-03-15;3317.0;2405.0;4036.0;3324.0;39.7
270;2019-04-01;3287.0;2468.0;4248.0;3483.0;40.9
271;2019-04-15;3269.0;2462.0;4319.0;3447.0;41.5
272;2019-05-01;3249.0;2521.0;4217.0;3490.0;42.1
273;2019-05-15;3180.0;2529.0;4851.0;3414.0;39.3
274;2019-06-01;3138.0;2436.0;3950.0;3423.0;36.5
275;2019-06-15;3006.0;2358.0;3781.0;3208.0;36.45
276;2019-07-01;2969.0;2430.0;3756.0;3302.0;36.4
277;2019-07-15;3074.0;2505.0;3869.0;3412.0;36.4
278;2019-08-01;3039.0;2482.0;3838.0;3253.0;36.4
279;2019-08-15;3100.0;2478.0;3857.0;3255.0;36.3
280;2019-09-01;3076.0;2500.0;3827.0;3202.0;36.2
281;2019-09-15;3133.0;2599.0;3846.0;3303.0;36.150000000000006
282;2019-10-01;3141.0;2674.0;3717.0;3306.0;36.1
283;2019-10-15;3133.0;2743.0;3636.0;3330.0;36.7
284;2019-11-01;3254.0;2924.0;3609.0;3446.0;37.3
285;2019-11-15;3321.0;3017.0;3701.0;3481.0;37.349999999999994
286;2019-12-01;3331.0;3068.0;3797.0;3467.0;37.4
287;2019-12-15;3099.0;2867.0;3869.0;3302.0;37.849999999999994
288;2020-01-01;3150.0;3026.0;4015.0;3371.0;38.3
289;2020-01-15;3233.0;3036.0;4048.0;3434.0;39.099999999999994
290;2020-02-01;3039.0;2907.0;4302.0;3226.0;39.9
291;2020-02-15;2966.0;2840.0;4526.0;3176.0;39.3
292;2020-03-01;2952.0;2747.0;4285.0;3112.0;38.7
293;2020-03-15;2797.0;2527.0;4398.0;2980.0;38.400000000000006
294;2020-04-01;2820.0;2514.0;4395.0;2969.0;38.1
295;2020-04-15;2707.0;2380.0;4480.0;2836.0;36.85
296;2020-05-01;2745.0;2373.0;4115.0;2866.0;35.6
297;2020-05-15;2677.0;2549.0;3864.0;2907.0;35.25
298;2020-06-01;2761.0;2530.0;3520.0;2902.0;34.9
299;2020-06-15;2829.0;2609.0;3631.0;2979.0;35.45
300;2020-07-01;3208.0;2694.0;3762.0;3197.0;36.0
301;2020-07-15;3218.0;2680.0;3803.0;3201.0;34.95
302;2020-08-01;3003.0;2583.0;3568.0;3045.0;33.9
303;2020-08-15;2936.0;2608.0;3442.0;3004.0;34.2
304;2020-09-01;2884.0;2663.0;3428.0;2955.0;34.5
305;2020-09-15;2985.0;2889.0;3674.0;3092.0;35.1
306;2020-10-01;3041.0;2865.0;3694.0;3143.0;35.7
307;2020-10-15;3037.0;2851.0;3803.0;3159.0;35.45
308;2020-11-01;2985.0;2722.0;3786.0;3096.0;35.2
309;2020-11-15;3037.0;2799.0;3641.0;3157.0;36.3
310;2020-12-01;3182.0;2889.0;3734.0;3261.0;37.4
311;2020-12-15;3210.0;2930.0;3893.0;3317.0;38.95
312;2021-01-01;3306.0;3044.0;4078.0;3420.0;40.5
313;2021-01-15;3380.0;3243.0;4082.0;3593.0;41.75
314;2021-02-01;3458.0;3198.0;4178.0;3614.0;43.0
315;2021-02-15;3615.0;3207.0;4268.0;3746.0;44.45
316;2021-03-01;4364.0;3302.0;4280.0;4231.0;45.9
317;2021-03-15;4083.0;3350.0;4250.0;4089.0;46.349999999999994
318;2021-04-01;4085.0;3367.0;4393.0;4081.0;46.8
319;2021-04-15;4097.0;3365.0;4436.0;4110.0;46.599999999999994
320;2021-05-01;4115.0;3433.0;4274.0;4162.0;46.4
321;2021-05-15;4123.0;3447.0;4321.0;4150.0;45.8
322;2021-06-01;4062.0;3415.0;4324.0;4128.0;45.2
323;2021-06-15;3997.0;3356.0;4328.0;4083.0;43.900000000000006
324;2021-07-01;3864.0;3126.0;3949.0;3924.0;42.6
325;2021-07-15;3730.0;2971.0;4022.0;3839.0;42.150000000000006
326;2021-08-01;3598.0;3020.0;4065.0;3784.0;41.7
327;2021-08-15;3552.0;3052.0;4184.0;3827.0;42.400000000000006
328;2021-09-01;3691.0;3274.0;4328.0;3927.0;43.1
329;2021-09-15;3777.0;3302.0;4274.0;4011.0;43.75
330;2021-10-01;3749.0;3315.0;4297.0;3977.0;44.4
331;2021-10-15;3803.0;3401.0;4426.0;4061.0;46.95
332;2021-11-01;3921.0;3627.0;5058.0;4207.0;49.5
333;2021-11-15;3987.0;3676.0;5162.0;4287.0;50.5
334;2021-12-01;4008.0;3721.0;5220.0;4290.0;51.5
335;2021-12-15;3867.0;3745.0;5241.0;4236.0;53.1
336;2022-01-01;3866.0;3773.0;5487.0;4247.0;54.7
337;2022-01-15;4082.0;3963.0;5546.0;4463.0;56.75
338;2022-02-01;4324.0;4051.0;5684.0;4630.0;58.8
339;2022-02-15;4503.0;4295.0;5881.0;4840.0;60.75
340;2022-03-01;4757.0;4481.0;6394.0;5065.0;62.7
341;2022-03-15;4596.0;4545.0;6412.0;5039.0;63.05
342;2022-04-01;4532.0;4599.0;6472.0;4981.0;63.4
343;2022-04-15;4207.0;4408.0;6185.0;4855.0;60.95
344;2022-05-01;3916.0;4130.0;5652.0;4419.0;58.5
345;2022-05-15;3934.0;4116.0;5635.0;4432.0;57.15
346;2022-06-01;4158.0;4240.0;5365.0;4656.0;55.8
347;2022-06-15;4125.0;4276.0;4875.0;4600.0;53.8
348;2022-07-01;3961.0;4063.0;4908.0;4360.0;51.8
349;2022-07-15;3757.0;3709.0;4825.0;4166.0;50.5
350;2022-08-01;3544.0;3524.0;4798.0;3913.0;49.2
351;2022-08-15;3417.0;3524.0;5005.0;3768.0;49.5
352;2022-09-01;3610.0;3575.0;5046.0;4007.0;49.8
353;2022-09-15;3733.0;3547.0;5147.0;4072.0;48.2
354;2022-10-01;3573.0;3497.0;4966.0;3911.0;46.6
355;2022-10-15;3421.0;3250.0;4769.0;3723.0;45.45
356;2022-11-01;3279.0;2972.0;4802.0;3537.0;44.3
357;2022-11-15;3397.0;3057.0;4746.0;3623.0;44.15
358;2022-12-01;3400.0;3102.0;4826.0;3610.0;44.0
359;2022-12-15;3246.0;2965.0;4801.0;3493.0;43.4
360;2023-01-01;3208.0;2838.0;4690.0;3365.0;42.8
361;2023-01-15;3218.0;2842.0;4871.0;3393.0;41.599999999999994
362;2023-02-01;3329.0;2829.0;4980.0;3456.0;40.4
363;2023-02-15;3264.0;2769.0;5086.0;3414.0;39.4
364;2023-03-01;3277.0;2739.0;4509.0;3403.0;38.4
365;2023-03-15;3228.0;2648.0;4052.0;3361.0;36.95
366;2023-04-01;3053.0;2579.0;4167.0;3227.0;35.5
367;2023-04-15;3089.0;2776.0;4411.0;3362.0;38.65
368;2023-05-01;3230.0;2787.0;4561.0;3506.0;41.8
369;2023-05-15;3244.0;2766.0;4407.0;3488.0;42.75
370;2023-06-01;3173.0;2755.0;4668.0;3399.0;43.7
371;2023-06-15;3172.0;2667.0;4533.0;3479.0;
372;2023-07-01;3149.0;2525.0;4386.0;3334.0;
373;2023-07-15;3100.0;2503.0;3955.0;3289.0;
374;2023-08-01;2864.0;2454.0;3910.0;3100.0;
375;2023-08-15;2548.0;2333.0;4127.0;2875.0;
376;2023-09-01;;;;;
377;2023-09-15;;;;;
378;2023-10-01;;;;;
379;2023-10-15;;;;;
380;2023-11-01;;;;;
381;2023-11-15;;;;;
382;2023-12-01;;;;;
383;2023-12-15;;;;;
